,Unnamed: 0,Make,Ex-Showroom_Price,Displacement,Cylinders,Drivetrain,Cylinder_Configuration,Emission_Norm,Engine_Location,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,Width,Body_Type,Kerb_Weight,Gears,Front_Brakes,Rear_Brakes,Front_Suspension,Rear_Suspension,Front_Tyre_&_Rim,Rear_Tyre_&_Rim,Power_Steering,Power_Windows,Keyless_Entry,Power,Seats_Material,Type,12v_Power_Outlet,Audiosystem,Basic_Warranty,Clock,Fuel-lid_Opener,Handbrake,Instrument_Console,Third_Row_AC_Vents,Ventilation_System,Airbags,Number_of_Airbags,Parking_Assistance,Seat_Height_Adjustment,Length_new,Average_Mileage
10,10,Datsun,390000.0,999.0,3.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,28.0,Petrol,1560.0,Hatchback,1391.3889515219842,5.0,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,80/155R13,80/155R13,Electric Power,All Windows,Remote,68PS@5500rpm,Fabric,Manual,2.0,"CD/MP3/DVD, USB, Aux-in",2 years / Unlimited Kms,Digital,Internal,Manual,Analog + Digital,Not Applicable,Air Conditioning with cooling only,"Driver frontal airbag, Front passenger frontal airbag",3.8075201432408234,Rear sensors,Manual Adjustment,2888.5,22.5
11,11,Datsun,437065.0,999.0,3.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,28.0,Petrol,1560.0,Hatchback,1391.3889515219842,5.0,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,155/80R13,155/80R13,Electric Power,Only Front Windows,Remote,68PS@5500rpm,Fabric,Automatic,2.0,"CD/MP3/DVD, USB, Aux-in",2 years / Unlimited Kms,Digital,Internal,Manual,Analog + Digital,Not Applicable,Manual Air conditioning with cooling and heating,"Driver frontal airbag, Front passenger frontal airbag",3.8075201432408234,Rear sensors,Manual Adjustment,2888.5,23.0
12,12,Renault,353290.0,799.0,3.0,FWD (Front Wheel Drive),In-line,BS VI,"Front, Transverse",Injection,28.0,Petrol,1579.0,Hatchback,669.0,6.0,Ventilated Disc,Drum,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,165/70 R14,165/70 R14,Electric Power,All Windows,Remote,54PS@5678rpm,Fabric,Manual,1.9927140255009108,Not on offer,"2 Years / 50,000 Kms (Whichever comes earlier)",Digital,Internal,Manual,Digital,Not Applicable,Manual Air conditioning with cooling and heating,Driver frontal airbag,1.0,Rear sensors,Manual Adjustment,3076.5,25.17
13,13,Renault,283290.0,799.0,3.0,FWD (Front Wheel Drive),In-line,BS VI,"Front, Transverse",Injection,28.0,Petrol,1579.0,Hatchback,669.0,5.0,Ventilated Disc,Drum,MacPherson Struts With Lower Transverse Links,Twist beam suspension with coil spring,165/70 R14,165/70 R14,Electric Power,All Windows,Remote,54PS@5678rpm,Fabric,Manual,1.9927140255009108,Not on offer,"2 Years / 50,000 Kms (Whichever comes earlier)",Digital,Internal,Manual,Digital,Not Applicable,Heater,Driver frontal airbag,1.0,Rear sensors,Manual Adjustment,3086.5,25.17
14,14,Renault,383290.0,799.0,3.0,FWD (Front Wheel Drive),In-line,BS VI,"Front, Transverse",Injection,28.0,Petrol,1579.0,Hatchback,669.0,5.0,Ventilated Disc,Drum,MacPherson Struts With Lower Transverse Links,Twist beam suspension with coil spring,165/70 R14,165/70 R14,Electric Power,Only Front Windows,Remote,54PS@5678rpm,Fabric,Manual,2.0,"CD/MP3/DVD, USB, Aux-in","2 Years / 50,000 Kms (Whichever comes earlier)",Digital,Internal,Manual,Digital,Not Applicable,Manual Air conditioning with cooling and heating,Driver frontal airbag,1.0,Rear sensors,Manual Adjustment,3076.5,25.17
15,15,Renault,413290.0,799.0,3.0,FWD (Front Wheel Drive),In-line,BS VI,"Front, Transverse",Injection,28.0,Petrol,1580.0,Hatchback,669.0,5.0,Ventilated Disc,Drum,MacPherson Struts With Lower Transverse Links,Twist beam suspension with coil spring,165/70 R14,165/70 R14,Electric Power,All Windows,Remote,54PS@5678rpm,Fabric,Manual,2.0,"CD/MP3/DVD, USB, Aux-in","2 Years / 50,000 Kms (Whichever comes earlier)",Digital,Internal,Manual,Digital,Not Applicable,Manual Air conditioning with cooling and heating,Driver frontal airbag,1.0,Rear sensors,Manual Adjustment,3076.5,25.17
16,16,Renault,433290.0,999.0,3.0,FWD (Front Wheel Drive),In-line,BS VI,"Front, Transverse",Injection,28.0,Petrol,1579.0,Hatchback,669.0,5.0,Ventilated Disc,Drum,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,165/70 R14,165/70 R14,Electric Power,Only Front Windows,Remote,68PS@5500rpm,Fabric,Manual,2.0,"CD/MP3/DVD, USB, Aux-in","2 Years / 50,000 Kms (Whichever comes earlier)",Digital,Internal,Manual,Digital,Not Applicable,Manual Air conditioning with cooling and heating,Driver frontal airbag,1.0,Rear sensors,Manual Adjustment,3076.5,24.090000000000003
17,17,Renault,454490.0,999.0,3.0,FWD (Front Wheel Drive),In-line,BS VI,"Front, Transverse",Injection,28.0,Petrol,1579.0,Hatchback,669.0,5.0,Ventilated Disc,Drum,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,165/70 R14,165/70 R14,Electric Power,Only Front Windows,Remote,68PS@5500rpm,Fabric,Manual,2.0,"CD/MP3/DVD, USB, Aux-in","2 Years / 50,000 Kms (Whichever comes earlier)",Digital,Internal,Manual,Digital,Not Applicable,Manual Air conditioning with cooling and heating,Driver frontal airbag,1.0,Rear sensors,Manual Adjustment,3076.5,24.090000000000003
18,18,Renault,463290.0,999.0,3.0,FWD (Front Wheel Drive),In-line,BS VI,"Front, Transverse",Injection,28.0,Petrol,1579.0,Hatchback,669.0,5.891797556719022,Ventilated Disc,Drum,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,165/70 R14,165/70 R14,Electric Power,Only Front Windows,Remote,68PS@5500rpm,Fabric,Automatic,2.0,"CD/MP3/DVD, USB, Aux-in",2 years / Unlimited Kms,Digital,Internal,Manual,Digital,Not Applicable,Manual Air conditioning with cooling and heating,Driver frontal airbag,1.0,Rear sensors,Manual Adjustment,3076.5,24.605
19,19,Renault,484490.0,999.0,3.0,FWD (Front Wheel Drive),In-line,BS VI,"Front, Transverse",Injection,28.0,Petrol,1579.0,Hatchback,669.0,5.891797556719022,Ventilated Disc,Drum,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,165/70 R14,165/70 R14,Electric Power,Only Front Windows,Remote,68PS@5500rpm,Fabric,Automatic,2.0,"CD/MP3/DVD, USB, Aux-in",2 years / Unlimited Kms,Digital,Internal,Manual,Digital,Not Applicable,Manual Air conditioning with cooling and heating,Driver frontal airbag,1.0,Rear sensors,Manual Adjustment,3076.5,24.605
20,20,Renault,440990.0,999.0,3.0,FWD (Front Wheel Drive),In-line,BS VI,"Front, Transverse",Injection,28.0,Petrol,1579.0,Hatchback,669.0,5.0,Ventilated Disc,Drum,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,165/70 R14,165/70 R14,Electric Power,Only Front Windows,Remote,68PS@5500rpm,Fabric,Manual,2.0,"CD/MP3/DVD, USB, Aux-in","2 Years / 50,000 Kms (Whichever comes earlier)",Digital,Internal,Manual,Digital,Not Applicable,Manual Air conditioning with cooling and heating,"Driver frontal airbag, Front passenger frontal airbag",2.0,Rear sensors,Manual Adjustment,3076.5,24.090000000000003
21,21,Renault,470990.0,999.0,3.0,FWD (Front Wheel Drive),In-line,BS VI,"Front, Transverse",Injection,28.0,Petrol,1579.0,Hatchback,669.0,5.0,Ventilated Disc,Drum,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,165/70 R14,165/70 R14,Electric Power,Only Front Windows,Remote,68PS@5500rpm,Fabric,Automatic,2.0,"CD/MP3/DVD, USB, Aux-in","2 Years / 50,000 Kms (Whichever comes earlier)",Digital,Internal,Manual,Digital,Not Applicable,Manual Air conditioning with cooling and heating,"Driver frontal airbag, Front passenger frontal airbag",2.0,Rear sensors,Manual Adjustment,3076.5,24.090000000000003
22,22,Renault,462190.0,999.0,3.0,FWD (Front Wheel Drive),In-line,BS VI,"Front, Transverse",Injection,28.0,Petrol,1579.0,Hatchback,669.0,5.0,Ventilated Disc,Drum,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,165/70 R14,165/70 R14,Electric Power,All Windows,Remote,68PS@5500rpm,Fabric,Manual,2.0,"CD/MP3/DVD, USB, Aux-in","2 Years / 50,000 Kms (Whichever comes earlier)",Digital,Internal,Manual,Digital,Not Applicable,Manual Air conditioning with cooling and heating,"Driver frontal airbag, Front passenger frontal airbag",2.0,Rear sensors,Manual Adjustment,3076.5,24.090000000000003
23,23,Renault,492190.0,999.0,3.0,FWD (Front Wheel Drive),In-line,BS VI,"Front, Transverse",Injection,28.0,Petrol,1579.0,Hatchback,669.0,5.891797556719022,Ventilated Disc,Drum,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,165/70 R14,165/70 R14,Electric Power,All Windows,Remote,68PS@5500rpm,Fabric,Automatic,2.0,"CD/MP3/DVD, USB, Aux-in",2 years / Unlimited Kms,Digital,Internal,Manual,Digital,Not Applicable,Manual Air conditioning with cooling and heating,"Driver frontal airbag, Front passenger frontal airbag",2.0,Rear sensors,Manual Adjustment,3076.5,24.605
24,24,Maruti Suzuki,352136.0,1196.0,4.0,RWD (Rear Wheel Drive),In-line,BS VI,"Front, Longitudinal",Injection,40.0,Petrol,1475.0,MPV,920.0,5.0,Ventilated Disc,Drum,McPherson struts,3 Link Rigid,155 R13 LT,155 R13 LT,Electric Power,All Windows,Remote,73PS@6000rpm,Fabric,Manual,1.9927140255009108,Not on offer,2 years /40000 Kms (years/distance whichever comes first),Digital,Manual,Manual,Analog + Digital,Not Applicable,Fully automatic climate control,Driver frontal airbag,1.0,Rear sensors,Manual Adjustment,3012.5,13.5
25,25,Maruti Suzuki,380573.0,1196.0,4.0,FWD (Front Wheel Drive),In-line,BS VI,"Front, Longitudinal",Injection,40.0,Petrol,1475.0,MPV,940.0,5.0,Ventilated Disc,Drum,McPherson struts,3 Link Rigid,155 R13 LT,155 R13 LT,Electric Power,All Windows,Remote,74PS@6000RPM,Fabric,Manual,1.9927140255009108,Not on offer,2 years /40000 Kms (years/distance whichever comes first),Digital,Internal,Manual,Analog + Digital,Not Applicable,Fully automatic climate control,Driver frontal airbag,1.0,Rear sensors,Manual Adjustment,3012.5,13.5
26,26,Maruti Suzuki,392967.0,1196.0,4.0,RWD (Rear Wheel Drive),In-line,BS VI,"Front, Longitudinal",Injection,40.0,Petrol,1475.0,MPV,928.0,5.0,Ventilated Disc,Drum,McPherson struts,3 Link Rigid,155 R13 LT,155 R13 LT,Electric Power,All Windows,Remote,73PS@6000rpm,Fabric,Manual,1.9927140255009108,Not on offer,2 years /40000 Kms (years/distance whichever comes first),Digital,Manual,Manual,Analog + Digital,Not Applicable,Manual Air conditioning with cooling and heating,"Driver frontal airbag, Front passenger frontal airbag",3.8075201432408234,Rear sensors,Manual Adjustment,3012.5,13.0
27,27,Maruti Suzuki,466057.0,1196.0,4.0,RWD (Rear Wheel Drive),In-line,BS VI,"Front, Longitudinal",Injection,40.0,CNG,1475.0,MPV,1050.0,5.0,Ventilated Disc,Drum,McPherson Strut,3 Link Rigid,155 R13 LT,155 R13 LT,Electric Power,All Windows,Remote,62PS@6000rpm,Fabric,Manual,1.9927140255009108,Not on offer,2 years /40000 Kms (years/distance whichever comes first),Digital,Manual,Manual,Analog + Digital,Not Applicable,Manual Air conditioning with cooling and heating,Driver frontal airbag,1.0,Rear sensors,Manual Adjustment,3012.5,43.91912629757774
28,28,Maruti Suzuki,425255.0,1196.0,4.0,RWD (Rear Wheel Drive),In-line,BS VI,"Front, Longitudinal",Injection,40.0,CNG,1475.0,MPV,1030.0,5.0,Ventilated Disc,Drum,McPherson struts,3 Link Rigid,155 R13 LT,155 R13 LT,Electric Power,All Windows,Remote,62PS@6000rpm,Fabric,Manual,1.9927140255009108,Not on offer,2 years /40000 Kms (years/distance whichever comes first),Digital,Manual,Manual,Analog + Digital,Not Applicable,Heater,Driver frontal airbag,1.0,Rear sensors,Manual Adjustment,3012.5,43.91912629757774
29,29,Maruti Suzuki,377588.0,998.0,3.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,35.0,Petrol,1490.0,Hatchback,745.0,5.0,Ventilated Disc,Drum,Gas Filled Mc Pherson Strut,3-link rigid axle Suspension,155/65R13,155/65R13,Electric Power,All Windows,Remote,68PS@6000rpm,Fabric,Manual,1.9927140255009108,Not on offer,2 years /40000 Kms (years/distance whichever comes first),Digital,Internal,Manual,Analog + Digital,Not Applicable,Manual Air conditioning with cooling and heating,Driver frontal airbag,1.0,Rear sensors,Manual Adjustment,2952.5,19.035
30,30,Maruti Suzuki,394036.0,998.0,3.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,35.0,Petrol,1490.0,Hatchback,750.0,5.0,Ventilated Disc,Drum,Gas Filled Mc Pherson Strut,3-link rigid axle Suspension,155/65R13,155/65R13,Electric Power,Only Front Windows,Remote,68PS@6200rpm,Fabric,Manual,2.0,CD/MP3/DVD,2 years /40000 Kms (years/distance whichever comes first),Digital,Internal,Manual,Analog + Digital,Not Applicable,Manual Air conditioning with cooling and heating,Driver frontal airbag,1.0,Rear sensors,Manual Adjustment,2952.5,19.035
31,31,Maruti Suzuki,360843.0,998.0,3.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,35.0,Petrol,1490.0,Hatchback,740.0,5.0,Ventilated Disc,Drum,Gas Filled Mc Pherson Strut,3-link rigid axle Suspension,155/65R13,155/65R13,Electric Power,All Windows,Remote,68PS@6000rpm,Fabric,Manual,1.9927140255009108,Not on offer,2 years /40000 Kms (years/distance whichever comes first),Digital,Internal,Manual,Analog + Digital,Not Applicable,Manual Air conditioning with cooling and heating,Driver frontal airbag,1.0,Rear sensors,Manual Adjustment,2952.5,21.535
32,32,Maruti Suzuki,407238.0,998.0,3.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,35.0,Petrol,1475.0,Hatchback,755.0,5.0,Ventilated Disc,Drum,Gas Filled Mc Pherson Strut,3-link rigid axle Suspension,155/65R13,155/65R13,Electric Power,Only Front Windows,Remote,68PS@6000rpm,Fabric,Manual,2.0,Not on offer,2 years /40000 Kms (years/distance whichever comes first),Digital,Internal,Manual,Analog + Digital,Not Applicable,Manual Air conditioning with cooling and heating,Driver frontal airbag,1.0,Rear sensors,Manual Adjustment,2990.0,19.035
33,33,Maruti Suzuki,439777.0,998.0,3.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,35.0,CNG,1490.0,Hatchback,740.0,5.0,Ventilated Disc,Drum,Gas Filled Mc Pherson Strut,3-link rigid axle Suspension,155/65R13,155/65R13,Electric Power,All Windows,Remote,59PS@6000rpm,Fabric,Manual,1.9927140255009108,Not on offer,2 years / Unlimited Kms,Digital,Internal,Manual,Analog + Digital,Not Applicable,Manual Air conditioning with cooling and heating,Driver frontal airbag,1.0,Rear sensors,Manual Adjustment,2952.5,43.91912629757774
34,34,Maruti Suzuki,438559.0,998.0,3.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,35.0,Petrol,1490.0,Hatchback,755.0,5.0,Ventilated Disc,Drum,Gas Filled Mc Pherson Strut,3-link rigid axle Suspension,155/65R13,155/65R13,Electric Power,Only Front Windows,Remote,68PS@6000rpm,Fabric,Automatic,2.0,"CD/MP3/DVD, USB, Aux-in",2 years / Unlimited Kms,Digital,Internal,Manual,Analog + Digital,Not Applicable,Manual Air conditioning with cooling and heating,Driver frontal airbag,1.0,Rear sensors,Manual Adjustment,2952.5,19.035
35,35,Datsun,374990.0,1198.0,3.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,35.0,Petrol,1636.0,Hatchback,864.0,5.0,Ventilated Disc,Drum,MacPherson Strut with anti-roll bar,H-type Torsion Beam,155/70R13,155/70R13,Electric Power,Only Front Windows,Remote,68PS@5000rpm,Fabric,Manual,2.0,Not on offer,2 years / Unlimited Kms,Digital,"With Remote, Internal",Manual,Analog + Digital,Not Applicable,Heater,"Driver frontal airbag, Front passenger frontal airbag",2.0,Rear sensors,Manual Adjustment,3119.0,20.1
36,36,Datsun,468229.0,1198.0,3.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,35.0,Petrol,1636.0,Hatchback,864.0,5.0,Ventilated Disc,Drum,MacPherson Strut with anti-roll bar,H-type Torsion Beam,155/70R13,155/70R13,Electric Power,All Windows,Remote,68PS@5000rpm,Fabric,Manual,2.0,"CD/MP3/DVD, USB, Aux-in",2 years / Unlimited Kms,Digital,Internal,Manual,Analog + Digital,Not Applicable,"Heater, Manual Air conditioning with cooling and heating","Driver frontal airbag, Front passenger frontal airbag",2.0,Rear sensors,Manual Adjustment,3119.0,20.1
37,37,Datsun,502492.0,1198.0,3.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,35.0,Petrol,1636.0,Hatchback,864.0,5.0,Ventilated Disc,Drum,MacPherson Strut with anti-roll bar,H-type Torsion Beam,155/70R13,155/70R13,Electric Power,All Windows,Remote,68PS@5000rpm,Fabric,Manual,2.0,"CD/MP3/DVD, USB, Aux-in",2 years / Unlimited Kms,Digital,"With Remote, Internal",Manual,Analog + Digital,Not Applicable,"Heater, Manual Air conditioning with cooling and heating","Driver frontal airbag, Front passenger frontal airbag",2.0,Rear sensors,Manual Adjustment,3119.0,20.35
38,38,Datsun,499990.0,1198.0,3.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,35.0,Petrol,1636.0,Hatchback,864.0,5.0,Ventilated Disc,Drum,MacPherson Strut with anti-roll bar,H-type Torsion Beam,155/70R13,155/70R13,Electric Power,All Windows,Remote,68PS@5000rpm,Fabric,Manual,2.0,Not on offer,2 years / Unlimited Kms,Digital,Internal,Manual,Analog + Digital,Not Applicable,Manual Air conditioning with cooling and heating,"Driver frontal airbag, Front passenger frontal airbag",2.0,Rear sensors,Manual Adjustment,3119.0,20.35
39,39,Datsun,469990.0,1198.0,3.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,35.0,Petrol,1636.0,Hatchback,864.0,5.0,Ventilated Disc,Drum,MacPherson Strut with anti-roll bar,H-type Torsion Beam,155/70R13,155/70R13,Electric Power,Only Front Windows,Remote,68PS@5000rpm,Fabric,Manual,2.0,Not on offer,2 years / Unlimited Kms,Digital,Internal,Manual,Analog + Digital,Not Applicable,Manual Air conditioning with cooling and heating,"Driver frontal airbag, Front passenger frontal airbag",2.0,Rear sensors,Manual Adjustment,3119.0,20.35
40,40,Datsun,528464.0,1198.0,3.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,35.0,Petrol,1636.0,Hatchback,864.0,5.0,Ventilated Disc,Drum,MacPherson Strut with anti-roll bar,H-type Torsion Beam,155/70R13,155/70R13,Electric Power,All Windows,Remote,68PS@5000rpm,Fabric,Manual,2.0,"CD/MP3/DVD, USB, Aux-in",2 years / Unlimited Kms,Digital,Internal,Manual,Analog + Digital,Not Applicable,"Heater, Manual Air conditioning with cooling and heating","Driver frontal airbag, Front passenger frontal airbag",2.0,Rear sensors,Manual Adjustment,3119.0,20.1
41,41,Datsun,553015.0,1198.0,3.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,35.0,Petrol,1636.0,Hatchback,864.0,5.0,Ventilated Disc,Drum,MacPherson Strut with anti-roll bar,H-type Torsion Beam,155/70R13,155/70R13,Electric Power,All Windows,Remote,68PS@5000rpm,Fabric,Manual,2.0,"CD/MP3/DVD, USB, Aux-in",2 years / Unlimited Kms,Digital,"With Remote, Internal",Manual,Analog + Digital,Not Applicable,"Heater, Manual Air conditioning with cooling and heating","Driver frontal airbag, Front passenger frontal airbag",2.0,Rear sensors,Manual Adjustment,3119.0,20.35
